escalation_level,age,tenure_months,loyalty_status,segment,region,industry,channel,issue_category,issue_subtype,product_line,device_type,time_of_day_bucket,wait_time_seconds,previous_interactions_30d,resolution_time_minutes,agent_experience_years,first_contact_resolution,number_of_transfers,SLA_breaches_last_6m,lifetime_tickets,average_response_delay,sentiment_score,monthly_fee,subscription_value_str,churn_risk_band,priority_flag,behaviour_score_1,behaviour_score_2,behaviour_score_3,behaviour_score_4,behaviour_score_5,ops_telemetry_kpi_1,ops_telemetry_kpi_2,ops_telemetry_kpi_3,ops_telemetry_kpi_4,ops_telemetry_kpi_5,post_interaction_quality_score,risk_indicator,service_pressure_score,customer_engagement_score
Minor escalation,45.0,63,Silver,Other,South East,Finance,Email,Technical,Other,Premium,Desktop,Afternoon,81,1,45,3.8,Yes,1,0,14,4.16,,48.5,860.52,Low,No,44.1,25.5,40.5,57.0,56.5,1.3134,-1.5832,0.3046,0.2106,0.8278,3.057339665,14.291140482157424,8.170673698416627,
No escalation,57.0,35,Gold,Student,Midlands,Hospitality,Phone,Other,Outage,Premium,Mobile,Morning,7,0,14,6.3,Yes,1,0,7,3.13,0.536272774,64.51,232.4,Low,Yes,69.9,48.3,58.6,21.2,13.9,0.3358,-1.2961,-1.6841,-0.2583,0.8876,-0.658961917,0.0,0.1081168155891048,2.3465882184467066
No escalation,42.0,69,Bronze,Retail,London,Hospitality,Chat,Orders,Outage,Standard,Web,Evening,232,1,61,0.3,Yes,0,0,1,2.44,0.082760824,94.83,400.75,Low,No,63.9,28.7,24.4,32.2,70.1,-0.2153,1.7992,0.2687,-0.9965,-0.6328,-0.054999429,0.0,9.35211877405705,0.4156655698802567
No escalation,44.0,63,Silver,Retail,Midlands,Tech,In-app,Billing,Refund status,Standard,Mobile,Morning,156,1,51,4.3,Yes,0,0,6,1.64,-1.865007522,66.91,725.22,Low,No,53.5,26.6,59.7,40.5,20.1,0.3521,-0.3564,-0.2562,-1.0866,-3.2027,-0.520606025,12.436646735218941,5.536709268259438,3.136875514719687
No escalation,43.0,81,Silver,Enterprise,South East,Retail,Chat,Billing,Locked account,Basic,Web,Morning,276,0,1,0.2,Yes,2,0,21,3.91,0.046377775,18.35,96.71,Low,Yes,60.8,15.1,68.1,44.2,46.8,-1.0193,-0.6907,-1.9579,0.3967,0.1353,1.091797276,2.4098274004295313,11.02167671441705,2.724816298274067
Minor escalation,31.0,7,Gold,Retail,Wales,Finance,Phone,Account,Locked account,Basic,Web,Morning,212,2,77,0.0,Yes,0,1,23,1.59,0.940812087,40.74,348.31,Low,Yes,70.6,66.2,9.7,49.3,68.0,0.4462,-1.2584,-0.1612,0.3539,0.8234,4.284723495,12.663016122383246,,3.925743047592604
Minor escalation,26.0,38,Bronze,Retail,South East,Education,Email,Billing,Invoice error,Standard,Web,Evening,141,0,32,4.7,Yes,0,0,5,3.7,0.062161202,46.68,264.15,Medium,No,19.7,88.0,49.7,51.5,52.6,0.7476,-0.3068,-0.4475,-0.1747,0.4152,2.794448681,16.570373666504587,9.080007380211482,0.56524196902537
Minor escalation,56.0,34,Bronze,Student,South East,Tech,Phone,Technical,Outage,Standard,Call-Centre,Evening,240,0,82,0.0,Yes,1,0,7,3.96,-0.047347143,24.99,,Medium,No,61.8,52.2,59.9,77.7,63.6,-0.3032,0.2428,-0.9605,0.9351,-0.2427,3.944127484,25.143772924851262,14.075379151619533,5.523125608653296
Serious escalation,40.0,85,Silver,Retail,South East,Healthcare,In-app,Orders,Slow internet,Basic,Mobile,Evening,111,4,34,5.2,Yes,0,0,7,2.56,0.233017213,32.75,492.71,Low,No,45.8,51.4,27.1,48.5,48.2,2.0767,1.9411,-0.4879,0.9708,0.798,7.511018017,27.375481874769616,8.553783984018585,10.682348436778236
Minor escalation,54.0,0,Silver,Business,Scotland,Tech,Chat,Other,Damaged item,Standard,Web,Morning,179,3,4,4.1,Yes,0,1,5,2.08,-0.476273244,27.1,413.18,High,No,61.6,64.7,52.8,43.8,48.3,-0.0961,-0.616,0.0225,-0.1326,0.8225,2.528539404,22.43811647625498,11.170586073089686,7.747010653299422
No escalation,34.0,48,Bronze,Retail,South East,Retail,In-app,Account,Invoice error,Basic,Call-Centre,Evening,110,0,44,5.4,Yes,1,0,20,2.89,-2.386310039,37.85,269.22,High,Yes,70.8,28.6,53.6,43.9,21.6,0.404,-0.479,-0.6171,0.0224,-2.3757,0.37655126,0.0,5.997693851851602,6.270619074483692
Minor escalation,23.0,20,Gold,Retail,Scotland,Education,In-app,Account,Damaged item,Standard,Desktop,Afternoon,77,1,42,2.5,Yes,0,0,15,1.72,,31.58,432.71,Medium,No,31.5,41.4,44.3,70.0,46.6,-0.6248,1.3572,2.3695,-1.2061,1.4862,3.724754841,8.471700927666491,5.660388705120329,
Minor escalation,45.0,22,Bronze,Retail,Midlands,Retail,Phone,Billing,Payment failed,Standard,Mobile,Evening,216,2,44,3.1,No,1,0,2,2.86,-2.098471175,44.94,638.6,Low,No,62.7,36.8,57.7,60.5,84.0,1.7152,-0.0495,-0.4344,1.449,-0.9229,3.516528246,19.728601790133833,8.233798784363648,9.632380422947776
No escalation,31.0,35,Bronze,Retail,South East,Healthcare,Chat,Account,Payment failed,Basic,Mobile,Afternoon,89,1,37,0.3,Yes,2,1,10,3.16,0.358756956,34.8,579.18,Medium,No,57.0,60.6,34.3,34.4,55.4,0.4922,-0.2153,0.5562,1.3188,-2.2469,-1.281973189,1.729740993196164,7.238236538020787,4.153611501504785
Serious escalation,62.0,77,Bronze,Business,Midlands,Finance,Phone,Orders,Delayed delivery,Standard,Web,Evening,231,0,46,4.1,Yes,0,0,8,4.41,-0.71496019,23.73,655.89,Low,Yes,57.1,38.6,45.7,58.9,33.7,1.3207,-0.358,-0.5761,-0.4036,0.3297,5.218268057,28.986854257156356,16.63169928679377,8.133909150623584
No escalation,35.0,58,Gold,Retail,Wales,Finance,Chat,Technical,Outage,Standard,Mobile,Evening,267,1,52,5.3,Yes,1,0,6,2.21,-0.201081166,61.36,603.52,Low,No,61.4,53.5,65.7,40.3,48.6,-0.9511,0.5233,2.3467,-1.5293,-0.6674,0.954344562,6.43295686761942,11.51048853988747,0.28029878943824116
No escalation,56.0,55,Bronze,Retail,London,Healthcare,Phone,Technical,Other,Standard,Web,Morning,184,0,24,7.7,No,0,0,4,0.32,-0.42215587,34.4,719.82,Low,No,49.4,67.2,30.6,56.3,61.7,-0.7511,0.3445,1.3812,-1.3403,0.5804,0.752207025,6.023787708493094,5.480719111816608,0.0
No escalation,45.0,8,Gold,Business,Wales,Finance,In-app,Returns,Damaged item,Premium,Web,Night,302,1,45,3.8,Yes,0,0,6,2.99,-1.264563671,26.12,50,Low,No,67.1,48.5,48.7,42.2,56.4,0.5118,-0.9021,-0.6616,-0.6638,0.0083,0.856554061,,8.22429114207076,6.176638361784354
Minor escalation,33.0,10,Bronze,Enterprise,Midlands,Tech,Email,Billing,Wrong item,Standard,Web,Evening,222,1,23,3.9,Yes,1,0,16,1.72,0.819848945,60.06,342.26,Low,Yes,32.7,42.1,29.2,23.5,44.6,0.2454,-0.4256,-2.6614,-0.8857,0.1882,2.023620191,15.173672505793244,11.23139518053034,11.911120863216905
No escalation,41.0,0,Bronze,Business,Midlands,Retail,Phone,Technical,Damaged item,Standard,Desktop,Evening,404,0,59,5.8,Yes,1,0,16,2.69,2.468194994,5.0,326.9,Medium,No,58.8,32.0,60.6,51.5,16.1,0.0212,2.16,0.1771,-1.434,1.098,0.621885888,3.7259853072533446,11.93208470304961,1.0765703668137858
No escalation,39.0,35,Bronze,Retail,Lodnon,Finance,Phone,Account,Wrong item,Basic,Mobile,Afternoon,296,1,41,1.1,Yes,1,1,10,0.97,0.529426845,31.5,420.33,Low,No,21.2,39.3,50.7,83.9,36.7,-0.5917,0.2498,-0.4411,0.9521,-0.064,0.149917244,0.0,12.065461171959281,0.2208348786151786
Minor escalation,,9,,Retail,Midlands,Hospitality,Email,Technical,Outage,Standard,Mobile,Morning,164,1,1,0.0,Yes,2,0,26,1.35,-0.55958817,35.11,458.26,Low,No,70.1,42.1,52.3,31.4,48.9,-1.4082,-0.3345,-0.3441,-1.6351,-1.3149,2.176975187,13.502219900304386,10.397977147786987,10.620305154973023
Minor escalation,,50,,Retail,Scotland,Finance,Phone,Account,Other,Standard,Call-Centre,Evening,262,3,73,3.4,No,0,0,21,2.8,-0.437523697,62.92,443.36,Low,No,61.0,39.7,39.2,65.9,51.6,0.1757,-1.5745,-0.4714,1.3101,-0.5328,1.888538456,10.870053773194634,12.188069182050743,10.662011181046443
No escalation,56.0,40,Bronze,Retail,Midlands,Retail,Phone,Billing,Other,Premium,Web,Afternoon,247,1,1,0.0,Yes,1,0,19,0.47,-0.451715539,30.77,318.78,Low,No,54.7,54.5,16.0,63.3,54.9,-1.3314,-0.8733,0.5739,-0.8428,0.3826,0.91605449,3.552764529111065,7.110224837421091,6.280584992510963
No escalation,18.0,58,Bronze,Retail,Midlands,Healthcare,Email,Account,Outage,Standard,Desktop,Evening,194,2,21,3.0,Yes,3,1,13,2.37,0.65431102,32.97,180.98,Medium,No,63.4,40.8,43.3,38.2,63.6,-0.4332,-0.0178,1.8997,1.2762,0.9638,-0.135235042,0.0,11.239847482603519,4.3196927267532095
No escalation,41.0,93,Silver,Enterprise,London,Hospitality,Email,Orders,Payment failed,Enterprise,Call-Centre,Afternoon,0,2,43,2.4,No,0,0,17,2.92,1.979682433,48.7,153.75,Low,No,56.8,45.0,48.6,62.0,35.4,0.4192,0.3523,-0.454,-0.1563,-1.5165,-1.254034398,0.0,0.0,5.023477911108639
Minor escalation,38.0,37,Gold,Business,South East,Finance,Email,Returns,Refund status,Basic,Call-Centre,Afternoon,0,1,105,5.0,Yes,1,0,38,1.83,-0.409647393,52.19,410.07,Medium,No,55.2,40.9,34.9,43.6,51.9,0.5143,-0.2832,-0.6034,-2.2293,0.7246,2.825009938,9.221164676066593,9.624427350013333,9.341257099421403
Serious escalation,29.0,10,Bronze,Retail,North West,Hospitality,Phone,Technical,Outage,Standard,Desktop,Morning,198,2,67,3.7,Yes,1,0,16,2.92,-1.522383702,71.68,359.32,Medium,No,35.2,44.5,58.5,28.9,64.4,-1.1179,0.7936,-0.6199,-0.957,-1.2513,5.387031762,23.955729247437223,18.132705071702706,14.821959673151898
No escalation,31.0,24,Bronze,Retail,Wales,Education,Phone,Technical,Slow internet,Basic,Web,Night,294,2,89,1.4,Yes,0,0,8,1.84,-0.29387488,63.82,500.07,Low,No,50.2,49.4,47.7,45.5,20.4,1.0506,-0.9316,0.4979,-0.1421,0.0236,0.560568788,0.0,13.890504419255647,3.643145186446132
No escalation,51.0,68,Silver,Retail,London,Education,Phone,Technical,Damaged item,Basic,Mobile,Afternoon,157,0,71,3.5,Yes,0,0,21,0.31,-1.772676621,33.59,255.23,Medium,No,55.9,58.1,32.8,44.7,35.4,-1.4388,-0.1521,-0.1978,-0.3384,-1.4736,0.004654306,2.417621185650209,6.350309533086851,9.356006167995147
No escalation,20.0,36,Bronze,Business,South East,Hospitality,Chat,Billing,Other,Standard,Web,Morning,175,0,43,6.1,Yes,0,0,1,2.33,2.311739621,31.55,713.29,Low,Yes,54.4,27.5,24.6,47.2,34.6,-0.1429,0.225,1.3312,0.7055,2.5168,0.132460916,3.2867103734246377,6.731998482783992,0.0
No escalation,27.0,76,Silver,Retail,Scotland,Retail,Email,Technical,Damaged item,Basic,Web,Evening,116,2,64,2.1,Yes,0,0,13,3.28,-0.236367034,29.43,479.32,High,No,73.4,36.0,30.4,36.5,55.7,1.0382,1.3197,0.8201,-0.4046,0.803,-0.19359077,5.883887562710893,6.585082784841268,3.813484675875263
No escalation,18.0,0,Bronze,Retail,London,Finance,Chat,Technical,Password reset,Basic,Web,Evening,195,1,23,4.9,Yes,0,1,6,3.07,-1.553082985,35.77,357.35,High,No,51.4,43.2,50.6,59.7,53.8,-0.0963,-0.3656,-0.862,-0.2452,-1.5562,0.000334513,0.0,6.587254821624654,4.000695341534003
No escalation,52.0,45,Bronze,Business,Midlands,Hospitality,Phone,Technical,Locked account,Standard,Web,Morning,148,0,37,2.5,No,0,0,14,0.92,0.755706959,64.08,179.54,Low,No,52.9,56.7,67.7,34.3,37.0,2.0265,-1.0685,0.2338,-0.3375,-1.3612,0.354335112,0.0,5.457936827860385,2.3156002001956937
Serious escalation,18.0,57,Silver,Retail,Scotland,Education,Chat,Billing,Password reset,Premium,Call-Centre,Afternoon,0,1,34,3.0,Yes,1,0,12,2.81,0.470592255,12.22,743.91,Low,No,32.7,35.0,32.1,57.4,33.8,0.3886,-0.5217,1.3897,-1.6539,0.3857,5.320251761,32.54531430380666,9.51199648041976,8.901572712659936
Minor escalation,46.0,39,Bronze,Retail,Midlands,Retail,Email,Technical,Wrong item,Basic,Web,Afternoon,112,3,39,6.3,Yes,1,1,1,3.35,0.896861677,49.35,156.56,Medium,Yes,56.3,52.0,49.5,62.8,66.6,0.7532,-1.0965,-0.6897,0.712,0.8206,4.282462585,26.582932441273396,11.697265498569829,1.849196399382393
No escalation,37.0,88,Gold,Retail,Sotuh East,Retail,Chat,Technical,Password reste,Basic,Web,Evening,358,3,44,4.5,Yes,1,0,13,3.78,0.457501417,36.87,188.1,High,No,55.8,51.0,57.3,47.4,57.3,-0.7628,-0.2927,1.0714,0.5927,0.113,-0.445944469,0.0,9.79080052224489,5.148151400267505
No escalation,29.0,33,Bronze,Student,Scotland,Tech,Phone,Account,Wrong item,Standard,Call-Centre,Morning,26,0,18,4.9,Yes,0,2,3,2.81,0.185981657,17.39,683.49,Low,No,71.0,36.6,38.1,43.8,40.6,-1.907,0.9239,0.8917,-0.8005,0.8832,0.053383089,0.09411236444641015,3.762248087643622,0.0
No escalation,51.0,20,Bronze,Business,London,Healthcare,Phone,Billing,Damaged item,Premium,Call-Centre,Afternoon,289,0,14,2.4,Yes,2,1,10,1.33,-0.514467079,30.38,759.92,Low,No,87.0,61.3,31.5,30.9,66.0,-0.8934,-0.5975,-1.7371,-0.5068,0.0925,0.562968106,2.2154478822526085,9.054838458694887,0.39205499231621044
No escalation,46.0,72,Bronze,Retail,South East,Education,Chat,Other,Refund status,Standard,Mobile,Afternoon,250,0,56,3.2,Yes,0,1,8,0.6,-0.820655975,37.83,717.8,Low,No,16.7,76.5,44.8,38.6,42.0,-0.9105,1.0432,0.1418,-0.6662,0.2894,0.042355007,,10.729553373167754,0.0
No escalation,45.0,21,Bronze,Retail,Midlands,Tech,In-app,Technical,Outage,Standard,Mobile,Night,652,1,43,2.6,Yes,0,1,7,2.85,-0.686274948,43.48,442.45,Low,No,66.2,53.5,30.8,23.0,46.8,-0.0175,0.1633,1.3278,-0.49,0.2562,0.418001723,0.0,21.54646527433998,2.7124416775722278
Legal escalation,45.0,0,Silver,Retail,South East,Tech,Email,Orders,Refund status,Basic,Mobile,Morning,69,2,21,6.2,Yes,0,0,6,4.12,2.074888052,41.07,630.46,High,No,31.8,46.0,50.6,41.9,41.9,0.4868,-0.8679,0.5864,-0.5015,2.0,9.318220536,49.61700992150644,14.931198637271683,10.339681281460402
No escalation,34.0,13,Bronze,Retail,North West,Retail,Chat,Account,Outage,Premium,Mobile,Morning,246,1,48,6.2,Yes,1,1,12,0.61,,62.21,810.79,Low,No,67.0,40.9,66.1,42.9,69.9,-0.4371,-1.032,0.911,0.937,-0.0835,1.084105227,2.3986342643908056,8.865620404734752,
Serious escalation,52.0,84,Silver,Enterprise,Midlands,Healthcare,Chat,Technical,Delayed delivery,Basic,Call-Centre,Evening,502,1,35,2.3,No,0,0,74,2.12,0.157063533,47.27,649.91,Low,No,33.7,43.7,61.9,23.0,32.3,-1.2182,0.3476,1.186,-0.3471,0.2808,6.374684508,23.063241777058106,23.48977647855445,20.199915837380537
No escalation,49.0,55,Bronze,Retail,London,Education,In-app,Other,Invoice error,Standard,Mobile,Morning,0,2,21,2.3,No,0,0,6,2.76,,57.72,455.49,Low,No,57.1,64.6,47.6,17.8,41.5,0.2062,0.6611,-0.7349,-0.3558,0.476,0.605204124,0.7972441205165967,0.16558637624803813,
No escalation,31.0,46,Bronze,Retail,London,Hospitality,Phone,Returns,Invoice error,Premium,Call-Centre,Morning,82,2,69,3.7,Yes,0,0,17,2.73,-1.017262112,27.23,530.21,Low,No,30.7,40.0,27.4,34.8,61.8,1.0482,0.0205,0.3656,0.8659,0.9671,0.415173974,0.0,2.342150053159595,8.106213338582076
No escalation,18.0,18,Silver,Business,North West,Finance,Phone,Returns,Outage,Basic,Mobile,Evening,457,4,85,2.4,Yes,2,1,33,0.88,0.563398676,42.07,,High,No,77.2,61.4,40.9,37.9,33.0,1.6188,0.2299,0.4241,0.0773,-0.4524,0.367856868,0.0,20.76944891642757,9.543846299925285
Minor escalation,49.0,13,Silver,Retail,Midlands,Retail,Email,Technical,Slow internet,Standard,Mobile,Night,259,2,72,0.6,No,2,0,15,2.33,0.247267293,31.67,530.41,Medium,No,43.4,77.7,39.5,32.4,38.8,-0.077,0.0806,-0.9719,-0.3435,-0.092,2.624120254,13.371710922124294,15.241860600207534,6.030020592884476
Minor escalation,24.0,52,Bronze,Student,Wales,Education,Email,Technical,Outage,Enterprise,Web,Afternoon,87,0,56,6.4,Yes,0,1,24,2.42,-1.086100976,25.51,412.91,Low,No,31.0,57.5,50.1,42.0,72.1,-1.4993,1.6054,1.0414,-0.8236,-0.4903,2.486173924,20.58599174658729,12.434554159926494,11.135398958540325
No escalation,35.0,74,Bronze,Retail,North West,Healthcare,Phone,Technical,Password reset,Basic,Web,Evening,132,0,20,3.4,Yes,0,0,10,1.71,-1.230623329,32.75,717.05,Medium,No,55.2,58.5,51.0,64.5,36.1,-1.0193,-1.2809,0.6616,0.6886,-0.2782,0.485995604,2.9577669142882232,6.704207642516205,3.0116841948894972
Minor escalation,27.0,67,Bronze,Enterprise,North West,Finance,Chat,Technical,Invoice error,Standard,Web,Afternoon,161,2,31,0.0,Yes,0,2,13,2.74,0.495020395,67.08,274.06,Medium,Yes,72.5,37.1,37.2,67.9,54.7,0.8239,1.3797,0.884,-1.2611,0.4763,2.990206499,17.60829513204206,13.231142866032851,6.885702168755881
Minor escalation,38.0,32,Bronze,Retail,London,Tech,In-app,Technical,Slow internet,Basic,Web,Afternoon,72,0,1,5.2,No,1,0,1,1.93,-1.068499896,41.44,619.49,Medium,No,35.2,24.4,67.1,45.0,41.7,0.6011,1.358,-0.3818,-0.1227,-0.1826,3.611971156,14.029965005480705,7.181212114381413,4.269596990438952
Minor escalation,27.0,49,Bronze,Other,Wales,Healthcare,Phone,Technical,Wrong item,Basic,Desktop,Afternoon,254,2,51,1.9,Yes,1,0,36,1.35,-2.908039491,47.22,50,Low,No,41.8,74.8,41.5,66.6,52.5,1.3491,-1.2973,0.2604,-0.3162,-0.3722,3.170813923,20.235784252979343,11.765784845509563,14.65772177137016
No escalation,25.0,7,Bronze,Enterprise,London,Finance,Chat,Returns,Damaged item,Premium,Web,Afternoon,223,0,26,5.1,No,0,0,1,2.92,0.481773149,74.36,550.38,Low,No,46.2,51.6,57.2,39.0,54.4,0.7429,-0.4712,-1.9312,1.2861,-0.2348,-0.395468986,4.335614177779209,7.427322252418583,0.0
Minor escalation,55.0,61,Gold,Student,London,Retail,Phone,Account,Delayed delivery,Basic,Call-Centre,Afternoon,189,1,91,0.0,Yes,0,1,18,3.32,1.102517622,48.3,415.43,Low,Yes,42.7,49.8,62.3,28.4,46.4,-0.1367,0.1965,-0.9119,-1.1551,0.1628,2.273980099,13.024922119228718,14.010908916789962,5.9058589316831265
Minor escalation,26.0,57,Bronze,Retail,Midlands,Hospitality,In-app,Billing,Slow internet,Standard,Web,Afternoon,281,0,22,6.5,No,1,0,24,1.22,0.119052741,17.51,270.45,Low,No,62.3,75.3,73.9,66.2,28.2,-0.3431,1.4911,0.9932,0.6409,-1.3642,3.312214495,13.547992681896105,15.82241227799342,7.892248570692744
No escalation,35.0,0,Bronze,Retail,Scotland,Hospitality,Chat,Other,Slow internet,Basic,Mobile,Night,282,1,47,4.5,Yes,0,0,18,3.14,-0.536772845,39.5,582.21,Low,No,37.9,61.6,62.5,60.8,36.8,0.6928,-0.027,0.4695,-1.0228,-1.7558,-1.13964302,0.0,5.00515320755866,6.75077157132084
No escalation,39.0,36,Silver,Retail,Midlands,Tech,Chat,Orders,Payment failed,Premium,Mobile,Evening,281,0,81,2.7,Yes,2,1,12,3.9,0.379861001,52.4,150.7,Low,No,32.9,54.7,42.2,31.0,61.8,0.3107,0.715,2.1721,0.3213,-1.2889,0.358749161,0.0,15.362554738455902,4.940653195770951
Minor escalation,49.0,36,Bronze,Student,Scotland,Healthcare,Chat,Returns,Invoice error,Basic,Call-Centre,Afternoon,134,3,43,1.8,Yes,2,1,5,4.73,0.811343863,58.57,333,Medium,No,35.4,56.5,70.6,37.7,54.7,-1.3053,-0.9776,-1.6754,-0.1892,-1.656,1.958417744,18.870144637123524,14.368570999527527,3.7153754364354654
Minor escalation,21.0,41,Gold,Business,South East,Education,Phone,Billing,Slow internet,Basic,Mobile,Morning,122,2,51,2.1,Yes,0,1,25,2.2,0.235977842,19.58,471.76,Low,No,83.9,52.9,53.0,75.3,56.0,1.2129,2.0639,1.079,-1.0158,0.4212,2.605321886,16.100438691632142,14.042046270356037,6.338954856067914
Serious escalation,34.0,35,Bronze,Retail,Midlands,Retail,Phone,Orders,Refund status,Standard,Desktop,Afternoon,225,1,60,5.8,Yes,0,1,11,2.13,-0.35978334,31.02,384.31,Low,No,47.2,38.3,82.6,28.3,41.9,0.4308,1.03,1.1507,0.2176,0.426,6.480788456,35.62710496883379,19.3527949521644,11.433456540269203
Minor escalation,39.0,44,Silver,Business,Midlands,Finance,Email,Returns,Locked account,Premium,Call-Centre,Morning,380,1,81,2.9,No,0,0,25,3.57,-0.641336582,40.04,731.14,Low,No,89.2,16.9,96.1,66.2,40.9,0.5244,-1.0719,-0.0843,-0.754,-1.1272,3.39984929,13.812363184292016,16.16003258474945,10.500631561309246
No escalation,23.0,16,Bronze,Retail,South East,Healthcare,Phone,Billing,Payment failed,Enterprise,Mobile,Night,223,2,9,2.2,Yes,0,0,24,3.06,0.99376679,55.52,402.3,Medium,No,33.6,50.4,45.3,38.8,43.0,0.6379,0.7175,0.3012,1.208,1.1001,0.298088903,0.0,7.80492520025055,1.8922971805834212
No escalation,72.0,12,Bronze,Retail,South East,Tech,Phone,Returns,Password reset,Basic,Mobile,Evening,401,0,54,1.5,Yes,1,1,17,2.14,0.747760653,30.75,779.66,Low,No,59.4,70.1,45.6,73.0,71.2,-1.4132,-0.9129,0.3215,-0.4685,0.5287,-0.155073944,,20.412953194333394,2.4862341787588385
No escalation,31.0,24,Bronze,Retail,Midlands,Retail,Chat,Account,Delayed delivery,Premium,Mobile,Evening,197,5,17,5.1,No,0,1,11,2.26,-2.027043975,49.66,494.27,Low,Yes,56.4,37.6,40.4,50.5,42.2,-0.9796,-0.8624,1.3732,-0.1244,-1.3832,-0.192444048,1.5109831820470592,8.064229064126653,8.320222229568701
Serious escalation,44.0,77,Gold,Retail,London,Healthcare,Chat,Account,Password reset,Enterprise,Mobile,Evening,406,1,52,0.0,Yes,0,0,15,1.42,-0.269614523,60.78,335.61,Low,No,47.9,26.6,59.6,55.2,59.7,-0.4136,-1.8364,0.1891,-1.9594,-1.1988,6.179288704,27.364856440220397,21.085567235522163,
